Dutch,English
Al,Already
voorzitter,chair
gebeurt,happens
extra,additional
druk,pressure
den,Pine tree
waarbij,whereby
wilde,Savage
kwaliteit,quality
hoger,higher
tel,count
belang,interest
economie,economy
zichzelf,itself
loopt,runs
echte,real
handen,hands
New,New
helft,half
zorgen,to care
werknemers,employees
biedt,offers
halen,to fetch 
Dan,Then
succes,good luck
aandacht,attention
zei,said
zin,sentence
dingen,stuff
gedaan,done
oktober,October
bank,Bank
afgelopen,past
totaal,total
september,September
publiek,audience
gemeente,Township
gezien,seen
brengt,brings
sector,sector
vast,fixed
Daarom,Therefore
gevolg,consequence
graag,with pleasure
welke,which
ruim,roomy
naast,next
Men,Men
VS,US
Internet,Internet
Vooral,Mainly
beeld,image
mannen,men
Is,Is
verhaal,story
sommige,some
voorbije,past
waarmee,by which
korte,short
verkopen,to sell
partij,side
buitenlandse,foreign
vlak,right
ondernemingen,companies
recht,straight
nauwelijks,barely
maart,March
product,product
productie,production
plan,plan
kant,side
situatie,situation
beginnen,to start
onderneming,company
speelt,plays
bezig,in process
daarom,therefore
stond,was standing
verkoop,sale
jongste,youngest
resultaten,Results
hoofd,head
mei,May
lopen,walk
deed,held
juni,June
daarbij,thereby
daarvan,of them
politie,Police
U,YOU
kijken,to look
des,des
la,la
banken,banks
woorden,words
komende,up
gebied,area
Brusselse,Brussels
prijzen,Prices
gebruiken,to use
ruimte,room
Jan,Jan
woord,word
Alleen,Alone
ver,far
klein,small
kwamen,arrive
volgen,follow
liet,let
april,April
bovendien,moreover
terecht,justly
december,December
vind,find
niemand,no one
meestal,mostly
dood,dead
verleden,past
licht,light
genomen,taken
waarom,Why
hetzelfde,same
idee,idea
vader,father
verkocht,sold
trekken,Pull
klant,customer
bepaald,determined
oorlog,war
konden,abundance
sterke,strong
Over,About
voorbeeld,sample
t,t
keuze,choice
vond,found
november,November
Uit,Out
denk,think
beleid,policy
vroeger,back in the days
precies,precisely
begint,begins
cijfers,Numbers
zoeken,Search
anderen,others
niveau,level
Paul,Paul
bleek,pale
Omdat,Because
grond,ground
and,and
Info,Info
rest,rest
directeur,director
mens,man
vallen,fall
vol,full
Sinds,Ever since
gezegd,said
ogen,eyes
Irak,Iraq
mooi,pretty
begon,began
leggen,lay
NRC,NRC
bieden,offer
familie,family
mooie,nice
meter,meter
Veel,A lot
kort,short
bevolking,population
ene,one
schrijven,to write
acht,eight
reden,rode
gegeven,given
zeven,seven
onderwijs,Education
algemeen,generally
hebt,have
kind,child
horen,to belong
én,and
beperkt,limited
zware,heavy
langs,by
ontwikkeling,development
macht,power
inderdaad,indeed
voldoende,Enough
geschiedenis,history
waardoor,Causing
dergelijke,of such
actief,active
leden,members
daarvoor,therefor
kennen,know
uiteindelijk,in the end
A,a
klassieke,classic
groter,taller
dienst,employ
richting,direction
Onze,Our
kunst,art
Gent,Ghent
samenwerking,collaboration
feit,fact
to,to
daarmee,with that
partijen,parties
twintig,twenty
juli,July
jongeren,youngsters
project,project
gebeuren,to happen
Parijs,Paris
thuis,At home
premier,Prime Minister
gemiddelde,average
resultaat,result
raad,council
parlement,parliament
d,D
gevallen,cases
bedrag,amount
namelijk,namely
oplossing,solution
studenten,students
geldt,applies
bijzonder,special
z'n,his
verschil,difference
leiden,lead
rente,interest rate
februari,February
bedraagt,is
vroeg,early
half,half
duur,expensive
wachten,to wait
Wanneer,When
bleef,Remained
ouders,parents
Mijn,Mine
Zelfs,Even
nieuws,news
gaf,gave
wet,law
programma,program
betreft,Re
Unie,Union
denkt,thinks
momenteel,currently
Japanse,Japanese
plaatsen,place
leger,army
leren,to learn
geheel,whole
reeks,series
nam,grabbed
moeder,mother
sprake,talk
plannen,plan
Zoals,Like
gebracht,brought
waarschijnlijk,probably
start,Start
Onder,below
uiteraard,naturally
spreken,to speak
betere,better
Vlaams,Flemish
zoek,Search
Antwerpse,Antwerp
steun,support
boeken,books
Amsterdam,Amsterdam
activiteiten,activities
China,China
gehouden,kept
proberen,to attempt
zwaar,heavy
Twee,Two
overigens,Moreover
Geen,No
erop,on top
Hoewel,although
taal,language
volgt,follow
Generale,General
voeren,feed
oog,eye
gewone,ordinary
moesten,had to
York,York
buitenland,abroad
school,school
Tijdens,During the day
stijging,increase
CVP,CVP
totale,total
auto,car
nationale,national
augustus,August
zet,sets
zag,saw
middelen,resources
namen,take
Nog,Yet
organisatie,organization
nogal,quite
hogere,higher
lokale,local
bestaande,existing
slecht,bad
kent,knows
mogelijke,possible
begonnen,started
beroep,profession
mogelijkheden,possibilities
zowat,just about
Japan,Japan
gesteld,faulty
vraagt,requires
grotere,greater
Europees,European
kregen,got
juist,right
minstens,at least
beleggers,investors
Vandaag,Today
bouwen,to build
centrale,central
gevolgen,effects
l,l
wijze,wise
strijd,conflict
buurt,neighbourhood
speciale,special one
Italiaanse,Italian
Waarom,Why
gekomen,arrived
gevoel,feeling
kiezen,select
akkoord,agreement
nummer,number
DE,THE
kennis,knowledge
gang,course
voorlopig,for the time being
La,La
Maastricht,Maastricht
zat,was sitting
praten,to talk
John,John
kader,frame
moderne,modern
reeds,already
D,D
diverse,several
merk,Brand
omgeving,surroundings
voorzien,to provide
telkens,every time
gingen,went
concurrentie,competition
voordeel,benefit
verband,bandage
Tel,Count
kapitaal,capital
gegevens,data
allerlei,all kinds of
betrokken,involved
stap,step
helpen,help out
Nederlands,Dutch
bent,are
vaste,fixed
Alle,All
Luc,Luc
gemiddeld,average
rendement,efficiency
invloed,influence
personeel,staff
ervaring,experience
bezoek,visit
gebouw,building
schreef,wrote
tafel,table
gisteren,yesterday
hulp,staff
verwachten,to expect
hoeft,needs
genoemd,named
zwarte,black
gelijk,equal
J,J
controle,check
gratis,free
bestuur,management
Peter,Peter
diensten,services
Londen,London
overal,everywhere
verlies,loss
enorme,huge
studie,study
oud,old
onlangs,recently
Terwijl,While
stukken,pieces
geschreven,written
verkiezingen,elections
lezen,read
eten,to eat
wijn,wine
lage,low
aanbod,offer
zorgt,worries
les,grade
opdracht,order
eveneens,also
daarna,then
kunt,can
Misschien,Perhaps
zogenaamde,so-called
legt,lays
Meer,More
Net,Just
risico,risk
leveren,to deliver
NLG,NLG
advies,advice
hoop,heap
klaar,finished
antwoord,answer
gehad,having
Kamer,Room
wellicht,perhaps
dertig,thirty
gezet,set
noemen,to call
algemene,general
Amerika,America
lager,lower
hoofdstad,capital city
Le,Le
verloren,lost
kracht,power
crisis,crisis
heet,is called
wist,knew
ton,tons
inmiddels,in the meantime
leidt,leading
kilometer,kilometer
ogenblik,moment
volgend,next
portefeuille,portfolio
hard,hard
top,top
gevonden,found it
tekst,text
Eén,A
veranderen,change
vrije,free
investeringen,investment
maatregelen,take
ieder,everyone
juiste,right one
vertrouwen,to trust
honderd,hundred
tentoonstelling,exhibition
smaak,taste
recente,recent
bracht,brought
zomer,summer
ontstaan,to arise
Marc,Marc
centrum,Centre
tegelijk,at the same time
punten,points
functie,function
steeg,alley
Tweede,Second
traditionele,traditional
evolutie,evolution
stijl,style
minuten,minute
du,du
Hun,Their
amper,barely
contract,contract
lijn,line
Hier,Here
levert,supplies
mogelijkheid,possibility
bezit,possess
cultuur,culture
betaalt,pays
doel,goal
beelden,images
meerderheid,majority
haalt,fetches
merken,brands
telt,counts
Russische,Russian
vertelt,tells
Daarnaast,In addition
gemeenten,municipalities
voelen,to feel
opleiding,education
liever,rather
erin,there
morgen,tomorrow
laag,low
toont,shows
positie,position
praktijk,practice
positief,positive
volledige,sufficient
witte,white
lijken,appear
